Value,CPI
3.4,23.680
3.8,23.670
4.0,23.500
3.9,23.820
3.5,24.010
3.6,24.150
3.6,24.400
3.9,24.430
3.8,24.360
3.7,24.310
3.8,24.160
4.0,24.050
4.3,24.010
4.7,23.910
5.0,23.910
5.3,23.920
6.1,23.910
6.2,23.920
6.7,23.700
6.8,23.700
6.6,23.750
7.9,23.670
6.4,23.700
6.6,23.610
6.5,23.510
6.4,23.610
6.3,23.640
5.8,23.650
5.5,23.770
5.4,23.880
5.0,24.070
4.5,24.200
4.4,24.340
4.2,24.500
4.2,24.600
4.3,24.980
3.7,25.380
3.4,25.830
3.4,25.880
3.1,25.920
3.0,25.990
3.2,25.930
3.1,25.910
3.1,25.860
3.3,26.030
3.5,26.160
3.5,26.320
3.1,26.470
3.2,26.450
3.1,26.410
2.9,26.390
2.9,26.460
3.0,26.470
3.0,26.530
3.2,26.680
3.4,26.690
3.1,26.630
3.0,26.690
2.8,26.690
2.7,26.710
2.9,26.640
2.6,26.590
2.6,26.630
2.7,26.690
2.5,26.700
2.5,26.770
2.6,26.790
2.7,26.850
2.9,26.890
3.1,26.950
3.5,26.850
4.5,26.870
4.9,26.940
5.2,26.990
5.7,26.930
5.9,26.860
5.9,26.930
5.6,26.940
5.8,26.860
6.0,26.850
6.1,26.810
5.7,26.720
5.3,26.780
5.0,26.770
4.9,26.770
4.7,26.820
4.6,26.790
4.7,26.790
4.3,26.770
4.2,26.710
4.0,26.760
4.2,26.720
4.1,26.850
4.3,26.820
4.2,26.880
4.2,26.870
4.0,26.830
3.9,26.860
4.2,26.890
4.0,26.930
4.3,27.030
4.3,27.150
4.4,27.290
4.1,27.310
3.9,27.350
3.9,27.510
4.3,27.510
4.2,27.630
4.2,27.670
3.9,27.800
3.7,27.860
3.9,27.930
4.1,28.000
4.3,28.110
4.2,28.190
4.1,28.280
4.4,28.320
4.5,28.320
5.1,28.410
5.2,28.470
5.8,28.640
6.4,28.700
6.7,28.870
7.4,28.940
7.4,28.940
7.3,28.910
7.5,28.890
7.4,28.940
7.1,28.910
6.7,28.910
6.2,28.950
6.2,28.970
6.0,29.010
5.9,29.000
5.6,28.970
5.2,28.980
5.1,29.040
5.0,29.110
5.1,29.150
5.2,29.180
5.5,29.250
5.7,29.350
5.8,29.350
5.3,29.410
5.2,29.370
4.8,29.410
5.4,29.410
5.2,29.540
5.1,29.570
5.4,29.610
5.5,29.550
5.6,29.610
5.5,29.610
6.1,29.750
6.1,29.780
6.6,29.810
6.6,29.840
6.9,29.840
6.9,29.840
7.0,29.810
7.1,29.840
6.9,29.840
7.0,29.920
6.6,29.940
6.7,29.980
6.5,29.980
6.1,29.980
6.0,30.010
5.8,30.040
5.5,30.110
5.6,30.170
5.6,30.210
5.5,30.240
5.5,30.210
5.4,30.220
5.7,30.280
5.6,30.420
5.4,30.380
5.7,30.380
5.5,30.380
5.7,30.440
5.9,30.480
5.7,30.510
5.7,30.480
5.9,30.510
5.6,30.610
5.6,30.690
5.4,30.750
5.5,30.720
5.5,30.750
5.7,30.780
5.5,30.880
5.6,30.940
5.4,30.910
5.4,30.940
5.3,30.950
5.1,30.980
5.2,31.010
4.9,31.020
5.0,31.050
5.1,31.080
5.1,31.120
4.8,31.210
5.0,31.250
4.9,31.280
5.1,31.280
4.7,31.310
4.8,31.380
4.6,31.480
4.6,31.610
4.4,31.580
4.4,31.550
4.3,31.620
4.2,31.650
4.1,31.750
4.0,31.850
4.0,31.880
3.8,32.080
3.8,32.180
3.8,32.280
3.9,32.350
3.8,32.380
3.8,32.450
3.8,32.650
3.7,32.750
3.7,32.850
3.6,32.880
3.8,32.920
3.9,32.900
3.8,33.000
3.8,33.000
3.8,33.100
3.8,33.100
3.9,33.300
3.8,33.400
3.8,33.500
3.8,33.600
4.0,33.700
3.9,33.900
3.8,34.000
3.7,34.100
3.8,34.200
3.7,34.300
3.5,34.400
3.5,34.500
3.7,34.700
3.7,34.900
3.5,35.000
3.4,35.100
3.4,35.300
3.4,35.400
3.4,35.600
3.4,35.700
3.4,35.800
3.4,36.100
3.4,36.300
3.4,36.400
3.5,36.600
3.5,36.800
3.5,36.900
3.7,37.100
3.7,37.300
3.5,37.500
3.5,37.700
3.9,37.900
4.2,38.100
4.4,38.300
4.6,38.500
4.8,38.600
4.9,38.800
5.0,38.900
5.1,39.000
5.4,39.200
5.5,39.400
5.9,39.600
6.1,39.800
5.9,39.900
5.9,39.900
6.0,40.000
5.9,40.100
5.9,40.300
5.9,40.500
6.0,40.600
6.1,40.700
6.0,40.800
5.8,40.900
6.0,41.000
6.0,41.100
5.8,41.200
5.7,41.400
5.8,41.400
5.7,41.500
5.7,41.600
5.7,41.700
5.6,41.800
5.6,41.900
5.5,42.100
5.6,42.200
5.3,42.400
5.2,42.500
4.9,42.700
5.0,43.000
4.9,43.400
5.0,43.700
4.9,43.900
4.9,44.200
4.8,44.200
4.8,45.000
4.8,45.200
4.6,45.600
4.8,45.900
4.9,46.300
5.1,46.800
5.2,47.300
5.1,47.800
5.1,48.100
5.1,48.600
5.4,49.000
5.5,49.300
5.5,49.900
5.9,50.600
6.0,51.000
6.6,51.500
7.2,51.900
8.1,52.300
8.1,52.600
8.6,52.800
8.8,53.000
9.0,53.100
8.8,53.500
8.6,54.000
8.4,54.200
8.4,54.600
8.4,54.900
8.3,55.300
8.2,55.600
7.9,55.800
7.7,55.900
7.6,56.000
7.7,56.100
